מחוז,רשות,אשכול,סמל,מודל,שם מוסד,סוג חינוך,סוג מוסד,מחיר,כמות ילדים ,ת. הרשמה ,ת. התחלה,ת.סיום
מרכז,אלעד,3,338749,2,"בי""ס בית מרגלית החדש",רגיל,"בי""ס",500,60,29/07/2018,01/09/2018,30/06/2019
מרכז,אלעד,3,350983,2,"ת""ת דעת יוסף ",רגיל,"בי""ס",500,58,29/07/2018,01/09/2018,30/06/2019
מרכז,אלעד,3,415059,2,"בי""ס בית מרגלית ",רגיל,"בי""ס",500,65,29/07/2018,01/09/2018,30/06/2019
מרכז,אלעד,3,415661,2,מאור ישראל,רגיל,"בי""ס",500,60,29/07/2018,01/09/2018,30/06/2019
מרכז,אלעד,3,416347,2,"ת""ת פרי תואר",רגיל,"בי""ס",500,98,29/07/2018,01/09/2018,30/06/2019
מרכז,אלעד,3,416545,2,"בי""ס פרי תואר",רגיל ,"בי""ס",500,81,29/07/2018,01/09/2018,30/06/2019
מרכז,אלעד,3,239145,7,"מג""י",מיוחד,גן ,500,12,29/07/2018,01/09/2018,30/06/2019
מרכז,אלעד,3,239152,7,"מג""י",מיוחד,גן ,500,12,29/07/2018,01/09/2018,30/06/2019
מרכז,אלעד,3,338178,2,דרך התורה ,רגיל ,"בי""ס",500,33,29/07/2018,01/09/2018,30/06/2019
מרכז,אלעד,3,546754,1,בית מרגלית ,רגיל ,גן ,500,27,29/07/2018,01/09/2018,30/06/2019
מרכז,אלעד,3,546838,1,דעת יוסף ,רגיל ,גן ,500,31,29/07/2018,01/09/2018,30/06/2019
מרכז,אלעד,3,555334,1,פרי תואר ,רגיל ,גן ,500,25,29/07/2018,01/09/2018,30/06/2019
מרכז,אלעד,3,559286,1,פרי תואר ,רגיל ,גן ,500,25,29/07/2018,01/09/2018,30/06/2019
מרכז,אלעד,3,453332,1,בית מרגלית ,רגיל ,גן ,500,28,29/07/2018,01/09/2018,30/06/2019
מרכז,אלעד,3,373530,7,מגי ,מיוחד ,גן ,500,11,29/07/2018,01/09/2018,30/06/2019
מרכז,אלעד,3,546713,1,בית מרגלית ,רגיל ,גן ,500,27,29/07/2018,01/09/2018,30/06/2019
מרכז,אלעד,3,546739,1,בית מרגלית ,רגיל ,גן ,500,27,29/07/2018,01/09/2018,30/06/2019
מרכז,אלעד,3,546812,1,דעת יוסף ,רגיל ,גן ,500,28,29/07/2018,01/09/2018,30/06/2019
מרכז,אלעד,3,546861,1,בית מרגלית ,רגיל ,גן ,500,31,29/07/2018,01/09/2018,30/06/2019
מרכז,אלעד,3,555193,1,מאור ישראל ,רגיל ,גן ,500,26,29/07/2018,01/09/2018,30/06/2019
מרכז,אלעד,3,555326,1,פרי תואר- מאור ישראל,רגיל ,גן ,500,23,29/07/2018,01/09/2018,30/06/2019
מרכז,אלעד,3,557447,1,פרי תואר ,רגיל ,גן ,500,25,29/07/2018,01/09/2018,30/06/2019
מרכז,אלעד,3,216184,1,פרי תואר ,רגיל ,גן ,500,27,29/07/2018,01/09/2018,30/06/2019
מרכז,אלעד,3,720359,1,אור המאיר ,רגיל ,גן ,500,31,29/07/2018,01/09/2018,30/06/2019
מרכז,אלעד,3,722173,1,אור המאיר ,רגיל ,גן ,500,32,29/07/2018,01/09/2018,30/06/2019
מרכז,אלעד,3,557462,1,אור המלך,רגיל ,גן ,500,33,29/07/2018,01/09/2018,30/06/2019
מרכז,אלעד,3,410555,2,אור המאיר ,רגיל ,"בי""ס",500,31,29/07/2018,01/09/2018,30/06/2019
מרכז,אלעד,3,216192,1,יונתן בן עוןזיאל,רגיל ,גן ,500,29,29/07/2018,01/09/2018,30/06/2019
מרכז,אלעד,3,555318,1,אלון דקל ,רגיל ,גן ,500,25,29/07/2018,01/09/2018,30/06/2019
מרכז,אלעד,3,559294,1,פרי תואר ,רגיל ,גן ,500,25,29/07/2018,01/09/2018,30/06/2019
מרכז,אלעד,3,721001,1,אור המאיר ,רגיל ,גן ,500,32,29/07/2018,01/09/2018,30/06/2019
מרכז,אלעד,3,555201,1,אור המלך,רגיל ,גן ,500,31,29/07/2018,01/09/2018,30/06/2019
מרכז,אלעד,3,373571,7,גן מגי ,מיוחד ,גן ,500,12,29/07/2018,01/09/2018,30/06/2019
מרכז,אלעד,3,546853,1,בית מרגלית ,רגיל ,גן ,500,33,29/07/2018,01/09/2018,30/06/2019
מרכז,אלעד,3,546820,1,דעת יוסף ,רגיל ,גן ,500,31,29/07/2018,01/09/2018,30/06/2019
מרכז,אלעד,3,415059,9,גן מגי ,מיוחד,"בי""ס",500,12,29/07/2018,01/09/2018,30/06/2019
